week_start,black_friday,black_friday_next,christmas,post_christmas,soldes_early,soldes_late,rentree,august,revenue,discount_depth,spend_search_nonbrand,spend_search_brand,spend_social,spend_display,spend_video,spend_affiliate
2023-07-03,0,0,0,0,1,0,0,0,436012.38,0.35,16303.43,6192.93,24077.76,15768.55,0.0,11936.62
2023-07-10,0,0,0,0,0,1,0,0,401487.54,0.2,10776.19,3365.83,8632.08,6668.72,0.0,5732.14
2023-07-17,0,0,0,0,0,1,0,0,368662.89,0.2,10055.53,3152.03,9405.28,8921.2,0.0,5049.12
2023-07-24,0,0,0,0,0,0,0,0,384827.43,0.0303,11066.69,4851.88,16299.34,9631.52,0.0,5489.44
2023-07-31,0,0,0,0,0,0,0,0,414615.12,0.0705,15952.41,5152.45,13715.98,11427.02,0.0,7663.22
2023-08-07,0,0,0,0,0,0,0,1,345925.33,0.0621,7066.65,3334.27,8054.3,6214.6,0.0,4529.03
2023-08-14,0,0,0,0,0,0,0,1,301082.3,0.05,8949.08,2705.19,8985.49,7394.26,0.0,4321.81
2023-08-21,0,0,0,0,0,0,0,1,349425.91,0.059,10256.29,3032.94,6818.98,6893.09,0.0,4241.83
2023-08-28,0,0,0,0,0,0,1,1,338123.91,0.0607,8861.56,2517.5,12032.57,6607.18,0.0,4017.87
2023-09-04,0,0,0,0,0,0,1,0,384620.56,0.0802,15224.83,4439.96,14544.35,14546.34,16675.76,7953.76
2023-09-11,0,0,0,0,0,0,0,0,319098.54,0.0498,14233.11,2773.9,12540.63,9805.83,12473.11,7142.45
2023-09-18,0,0,0,0,0,0,0,0,402736.08,0.0532,13257.59,4121.33,10977.35,12589.09,9493.85,6178.81
2023-09-25,0,0,0,0,0,0,0,0,320841.75,0.0683,9659.6,3185.93,12675.7,8303.67,9615.87,6006.97
2023-10-02,0,0,0,0,0,0,0,0,403599.36,0.0481,13168.77,4394.16,21927.31,9094.68,0.0,6526.38
2023-10-09,0,0,0,0,0,0,0,0,498078.83,0.0622,15348.46,8346.31,37447.56,13647.27,0.0,7892.52
2023-10-16,0,0,0,0,0,0,0,0,372624.44,0.046,12822.55,7683.82,19601.62,12969.44,0.0,8351.78
2023-10-23,0,0,0,0,0,0,0,0,357716.9,0.0233,18427.8,5107.67,14158.38,15185.47,0.0,9798.12
2023-10-30,0,0,0,0,0,0,0,0,427338.91,0.0517,15933.1,5258.39,15486.33,12071.03,14202.4,7904.65
2023-11-06,0,0,0,0,0,0,0,0,487846.12,0.076,30988.54,5353.35,37326.83,22421.39,19173.55,12806.18
2023-11-13,0,0,0,0,0,0,0,0,484320.92,0.0499,27369.91,8195.9,33976.49,18891.81,17917.84,8507.44
2023-11-20,1,0,0,0,0,0,0,0,708185.17,0.3,23243.0,9503.45,32501.89,20545.83,23973.56,13709.35
2023-11-27,0,1,0,0,0,0,0,0,625290.03,0.15,42436.56,14302.42,70910.87,40159.69,31276.81,18493.66
2023-12-04,0,0,0,0,0,0,0,0,529067.96,0.0375,21119.97,5184.89,22435.28,20050.97,14693.76,8771.81
2023-12-11,0,0,1,0,0,0,0,0,595006.42,0.0571,31029.48,11313.99,34532.68,30557.07,31125.61,17545.06
2023-12-18,0,0,1,0,0,0,0,0,597498.04,0.0463,30803.15,9974.33,32471.62,19373.64,24021.29,11563.02
2023-12-25,0,0,0,1,0,0,0,0,471674.86,0.0457,27420.0,6016.28,23408.35,18339.57,0.0,8033.11
2024-01-01,0,0,0,0,0,0,0,0,515391.67,0.0359,27944.53,9689.36,29012.22,22295.66,0.0,9893.31
2024-01-08,0,0,0,0,1,0,0,0,654147.82,0.35,33112.46,15616.99,36733.21,24261.49,22667.54,13670.12
2024-01-15,0,0,0,0,1,0,0,0,687216.17,0.35,32756.44,15498.5,106004.47,29973.62,32194.61,16385.64
2024-01-22,0,0,0,0,0,1,0,0,614164.09,0.2,25728.89,16912.96,60188.04,20341.12,27948.05,15926.26
2024-01-29,0,0,0,0,0,1,0,0,558997.81,0.2,19633.62,10534.25,18402.97,19074.03,19781.88,11085.83
2024-02-05,0,0,0,0,0,0,0,0,545664.15,0.049,25969.6,10289.9,30554.46,29162.94,0.0,14938.13
2024-02-12,0,0,0,0,0,0,0,0,475270.35,0.0348,20688.01,8734.35,22917.05,17189.01,0.0,10992.31
2024-02-19,0,0,0,0,0,0,0,0,517554.6,0.0652,28438.19,12198.81,22549.35,21701.32,0.0,17718.86
2024-02-26,0,0,0,0,0,0,0,0,455063.94,0.0565,23473.96,9503.67,60287.87,21833.84,0.0,12447.28
2024-03-04,0,0,0,0,0,0,0,0,443633.7,0.0395,18764.86,7966.02,31688.66,14084.68,0.0,10199.32
2024-03-11,0,0,0,0,0,0,0,0,449405.18,0.0381,21643.87,11448.41,24735.95,13791.69,0.0,8550.64
2024-03-18,0,0,0,0,0,0,0,0,357426.52,0.0505,15731.0,5709.22,14718.01,11150.32,0.0,8673.89
2024-03-25,0,0,0,0,0,0,0,0,383883.6,0.0534,13156.47,5229.03,23666.74,10772.2,0.0,8635.6
2024-04-01,0,0,0,0,0,0,0,0,445227.21,0.0728,12904.38,6154.26,52692.51,9575.49,0.0,5818.08
2024-04-08,0,0,0,0,0,0,0,0,467789.09,0.0548,18819.8,7743.33,41950.76,13693.08,0.0,9125.57
2024-04-15,0,0,0,0,0,0,0,0,372446.76,0.052,12855.19,6165.62,16087.88,11570.04,0.0,9017.79
2024-04-22,0,0,0,0,0,0,0,0,409496.17,0.0404,15079.83,5556.99,22905.62,13879.02,0.0,6614.25
2024-04-29,0,0,0,0,0,0,0,0,405332.73,0.0577,10114.43,4862.65,23806.35,11314.81,0.0,6508.67
2024-05-06,0,0,0,0,0,0,0,0,353348.65,0.0245,13201.64,3958.66,12198.18,10342.07,0.0,6549.37
2024-05-13,0,0,0,0,0,0,0,0,338127.05,0.0375,12027.05,4442.8,12401.7,9114.09,0.0,5283.85
2024-05-20,0,0,0,0,0,0,0,0,347692.25,0.0567,18437.67,5358.62,15025.68,14615.45,0.0,7850.59
2024-05-27,0,0,0,0,0,0,0,0,370330.36,0.023,14084.36,5354.84,31609.54,11244.59,0.0,8075.17
2024-06-03,0,0,0,0,0,0,0,0,382619.33,0.0687,14352.94,4780.16,30819.43,15942.92,0.0,8497.48
2024-06-10,0,0,0,0,0,0,0,0,413299.12,0.0257,23959.27,5830.71,56902.0,19634.43,0.0,9925.35
2024-06-17,0,0,0,0,0,0,0,0,376762.02,0.0523,13594.7,5730.46,44740.17,13424.05,0.0,6999.38
2024-06-24,0,0,0,0,1,0,0,0,448690.49,0.35,19609.97,5068.21,17652.45,10515.26,0.0,8574.5
2024-07-01,0,0,0,0,1,0,0,0,424066.58,0.35,19254.98,4844.39,18404.45,17267.47,0.0,9512.84
2024-07-08,0,0,0,0,0,1,0,0,450597.33,0.2,13997.67,5011.76,17420.21,10150.33,0.0,6617.03
2024-07-15,0,0,0,0,0,1,0,0,416033.35,0.2,12438.79,4246.68,16623.34,9949.23,0.0,6372.18
2024-07-22,0,0,0,0,0,0,0,0,332395.66,0.0306,11831.76,3554.23,10579.4,8237.09,0.0,5676.18
2024-07-29,0,0,0,0,0,0,0,0,397253.26,0.0508,14559.97,5700.87,12406.75,8912.5,0.0,8342.42
2024-08-05,0,0,0,0,0,0,0,1,338254.41,0.03,11486.27,4742.94,12223.35,8245.48,0.0,5271.97
2024-08-12,0,0,0,0,0,0,0,1,261725.66,0.0526,6414.64,1962.11,6753.68,4812.79,0.0,3640.79
2024-08-19,0,0,0,0,0,0,0,1,283876.48,0.0526,7627.95,3051.64,7580.08,6955.29,0.0,3902.66
2024-08-26,0,0,0,0,0,0,1,1,288486.7,0.0528,10102.0,2669.06,11467.66,7271.32,0.0,5268.1
2024-09-02,0,0,0,0,0,0,1,0,404257.16,0.0732,14468.01,7564.38,21204.57,12803.15,23565.75,10645.83
2024-09-09,0,0,0,0,0,0,0,0,431259.68,0.0449,15184.27,6736.6,16908.68,11781.57,13386.06,8363.92
2024-09-16,0,0,0,0,0,0,0,0,436149.88,0.0398,15790.75,7650.3,20712.5,15318.05,14310.49,8152.92
2024-09-23,0,0,0,0,0,0,0,0,481133.32,0.0618,15638.09,7497.98,31084.32,10242.47,12797.72,5206.05
2024-09-30,0,0,0,0,0,0,0,0,445427.63,0.0825,14110.81,6874.66,68638.57,11197.83,0.0,9799.86
2024-10-07,0,0,0,0,0,0,0,0,492656.65,0.0353,18863.95,9112.87,38879.82,16524.72,0.0,14020.1
2024-10-14,0,0,0,0,0,0,0,0,398753.99,0.0293,16062.62,6562.0,17091.88,12894.98,0.0,8065.01
2024-10-21,0,0,0,0,0,0,0,0,434612.53,0.0514,18805.2,8170.52,24958.48,13094.53,0.0,11811.58
2024-10-28,0,0,0,0,0,0,0,0,466847.24,0.0299,18598.87,7751.51,21570.4,13205.38,18476.2,10655.74
2024-11-04,0,0,0,0,0,0,0,0,459882.33,0.0497,22439.91,8662.48,25152.16,14994.56,17329.72,9309.72
2024-11-11,0,0,0,0,0,0,0,0,497113.7,0.0554,23303.47,6185.94,29329.82,18633.03,14402.0,10182.63
2024-11-18,0,0,0,0,0,0,0,0,510851.92,0.0561,30902.48,7986.29,42304.11,30431.18,20409.74,15800.71
2024-11-25,1,0,0,0,0,0,0,0,688941.87,0.3,46053.17,14035.87,43773.83,39711.94,41731.26,21286.83
2024-12-02,0,1,0,0,0,0,0,0,623527.91,0.15,38101.74,11685.35,47869.42,29902.08,25092.97,13629.67
2024-12-09,0,0,0,0,0,0,0,0,497518.93,0.0276,25501.72,7281.45,27208.45,18263.29,14844.63,9204.99
2024-12-16,0,0,1,0,0,0,0,0,627889.74,0.0482,24550.06,15525.65,30592.31,27475.6,29776.05,14643.15
2024-12-23,0,0,1,0,0,0,0,0,595582.57,0.0449,44073.05,14883.52,56914.84,41395.15,0.0,17570.67
2024-12-30,0,0,0,1,0,0,0,0,508747.1,0.0325,26229.64,6850.19,33782.49,23508.41,0.0,11277.41
2025-01-06,0,0,0,0,1,0,0,0,652753.92,0.35,42925.26,15910.27,38690.38,25590.36,35401.39,23086.3
2025-01-13,0,0,0,0,1,0,0,0,657715.0,0.35,29052.95,10683.86,32528.59,28281.23,23530.16,13368.16
2025-01-20,0,0,0,0,0,1,0,0,595804.47,0.2,21438.49,7280.15,25685.63,16442.74,21238.41,10710.64
2025-01-27,0,0,0,0,0,1,0,0,571406.97,0.2,26693.85,12020.29,22722.28,21789.27,21168.4,12311.9
2025-02-03,0,0,0,0,0,0,0,0,552929.42,0.0809,28857.87,8561.06,26950.26,20357.81,0.0,12246.25
2025-02-10,0,0,0,0,0,0,0,0,584481.33,0.0578,26290.19,10509.69,28330.07,16688.35,0.0,13250.8
2025-02-17,0,0,0,0,0,0,0,0,483802.06,0.061,19556.35,8848.83,26265.81,19149.51,0.0,11949.08
2025-02-24,0,0,0,0,0,0,0,0,448107.4,0.0385,17680.97,8816.35,15722.53,14765.03,0.0,7951.9
2025-03-03,0,0,0,0,0,0,0,0,399278.35,0.0265,20652.46,7028.89,16788.94,16863.05,0.0,11201.6
2025-03-10,0,0,0,0,0,0,0,0,434857.18,0.0664,20421.16,9152.11,19921.24,14210.71,0.0,12141.64
2025-03-17,0,0,0,0,0,0,0,0,439662.6,0.0992,14131.99,5126.49,17061.74,11319.1,0.0,8514.73
2025-03-24,0,0,0,0,0,0,0,0,430205.54,0.0562,15109.81,5759.5,16238.44,9426.75,0.0,6165.86
2025-03-31,0,0,0,0,0,0,0,0,398302.23,0.0543,21667.52,9173.86,20256.59,13477.21,0.0,11253.0
2025-04-07,0,0,0,0,0,0,0,0,398591.27,0.0485,16298.29,6120.12,12807.9,14903.24,0.0,8278.93
2025-04-14,0,0,0,0,0,0,0,0,382605.74,0.0552,20066.99,9892.79,20466.0,15953.99,0.0,7215.12
2025-04-21,0,0,0,0,0,0,0,0,314705.93,0.0485,13978.57,6543.98,13243.35,15191.0,0.0,7727.91
2025-04-28,0,0,0,0,0,0,0,0,376855.92,0.05,13284.77,5761.44,11251.57,9481.05,0.0,4977.57
2025-05-05,0,0,0,0,0,0,0,0,374494.7,0.0352,10340.47,3244.26,11764.94,8364.71,0.0,5084.12
2025-05-12,0,0,0,0,0,0,0,0,404927.86,0.0823,13482.41,4735.45,26637.33,9899.27,0.0,6119.09
2025-05-19,0,0,0,0,0,0,0,0,359681.82,0.0572,17104.77,5034.02,36513.01,13033.3,0.0,6328.42
2025-05-26,0,0,0,0,0,0,0,0,376633.8,0.0597,14992.25,3658.74,12909.11,11635.21,0.0,7018.0
2025-06-02,0,0,0,0,0,0,0,0,317300.95,0.046,14689.14,5612.45,21373.55,13076.29,0.0,9491.91
2025-06-09,0,0,0,0,0,0,0,0,415100.91,0.0534,27930.77,5422.82,22059.96,17099.2,0.0,8206.3
2025-06-16,0,0,0,0,0,0,0,0,402981.67,0.0499,21961.83,4818.79,36068.64,18928.91,0.0,6905.02
2025-06-23,0,0,0,0,1,0,0,0,471459.6,0.35,29890.49,9540.59,28438.4,24018.5,0.0,18208.49
2025-06-30,0,0,0,0,1,0,0,0,480692.99,0.35,16295.34,4374.78,19266.37,13512.76,0.0,8245.83
2025-07-07,0,0,0,0,0,1,0,0,389982.25,0.2,15086.43,3677.71,16289.11,14436.53,0.0,7518.55
2025-07-14,0,0,0,0,0,1,0,0,415326.76,0.2,17395.73,4429.91,11769.44,11611.85,0.0,8874.22
2025-07-21,0,0,0,0,0,0,0,0,359202.87,0.0497,9810.46,3574.15,12212.48,8141.88,0.0,7378.63
2025-07-28,0,0,0,0,0,0,0,0,396206.35,0.0636,15794.73,3384.42,15537.18,12857.03,0.0,9990.89
2025-08-04,0,0,0,0,0,0,0,1,328987.55,0.0734,8287.42,2011.68,9927.21,7536.13,0.0,4521.16
2025-08-11,0,0,0,0,0,0,0,1,273053.97,0.0461,10459.68,1693.67,11035.81,7676.08,0.0,5816.74
2025-08-18,0,0,0,0,0,0,0,1,232112.36,0.0294,7215.68,1681.91,8109.37,5986.27,0.0,4652.52
2025-08-25,0,0,0,0,0,0,0,1,280201.12,0.0359,9597.89,1459.46,10102.95,7429.29,0.0,4817.17
2025-09-01,0,0,0,0,0,0,1,0,382414.04,0.0473,26507.12,5096.3,24403.32,19689.88,21767.08,12712.31
2025-09-08,0,0,0,0,0,0,1,0,456738.79,0.0706,14911.18,4404.49,34102.63,14256.2,15861.7,6284.72
2025-09-15,0,0,0,0,0,0,0,0,467373.76,0.0435,18325.58,6440.82,42863.84,16685.96,16803.99,8512.33
2025-09-22,0,0,0,0,0,0,0,0,398937.49,0.0365,13028.25,5238.47,14360.35,13682.34,11496.52,6940.99
2025-09-29,0,0,0,0,0,0,0,0,449555.78,0.0538,13896.76,3864.36,21836.78,10231.45,0.0,6034.14
2025-10-06,0,0,0,0,0,0,0,0,443168.95,0.035,17134.79,8303.2,38353.64,12245.84,0.0,9379.44
2025-10-13,0,0,0,0,0,0,0,0,416038.01,0.0603,21194.75,8407.69,23239.01,15431.96,0.0,10896.84
2025-10-20,0,0,0,0,0,0,0,0,444109.07,0.0444,12005.32,5531.21,12612.74,10810.12,0.0,7218.56
2025-10-27,0,0,0,0,0,0,0,0,371483.67,0.0469,12304.54,4490.98,20775.91,10153.05,15857.75,6424.71
2025-11-03,0,0,0,0,0,0,0,0,452541.6,0.0658,20324.1,4376.05,29571.3,14627.51,15752.68,8345.29
2025-11-10,0,0,0,0,0,0,0,0,467815.96,0.0608,19873.61,5055.1,101606.04,20528.49,13625.87,7084.93
2025-11-17,0,0,0,0,0,0,0,0,515615.82,0.049,28713.07,7001.41,65816.41,26928.66,18262.3,12177.88
2025-11-24,1,0,0,0,0,0,0,0,767616.24,0.3,36814.69,14182.17,35519.07,25562.53,36602.0,16145.89
2025-12-01,0,1,0,0,0,0,0,0,601580.49,0.15,33196.38,7779.41,41110.06,33307.49,27500.03,11999.56
2025-12-08,0,0,0,0,0,0,0,0,488253.11,0.0246,32363.67,8592.31,26054.6,24680.94,20913.74,12130.56
2025-12-15,0,0,1,0,0,0,0,0,603473.95,0.0478,33679.33,7288.49,28961.96,22651.24,26506.18,13891.9
2025-12-22,0,0,1,0,0,0,0,0,579076.59,0.0427,39138.23,16362.3,36867.39,30456.8,0.0,21004.43
